# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	4550688	2623	-					rne	69549621	I6H43_RS00005	3015		old_locus_tag=I6H43_00005
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	4550688	2623	-	WP_042030944.1	WP_042030944.1		ribonuclease E	rne	69549621	I6H43_RS00005	3015	1004	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	3036	3980	+					rluC	69549622	I6H43_RS00010	945		old_locus_tag=I6H43_00010
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	3036	3980	+	WP_042030945.1	WP_042030945.1		23S rRNA pseudouridine(955/2504/2580) synthase RluC	rluC	69549622	I6H43_RS00010	945	314	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	3980	4642	+						69549623	I6H43_RS00015	663		old_locus_tag=I6H43_00015
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	3980	4642	+	WP_042030946.1	WP_042030946.1		HAD-IA family hydrolase		69549623	I6H43_RS00015	663	220	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	4737	5318	-						69549624	I6H43_RS00020	582		old_locus_tag=I6H43_00020
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	4737	5318	-	WP_042031060.1	WP_042031060.1		Maf family nucleotide pyrophosphatase		69549624	I6H43_RS00020	582	193	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	5438	5959	+					yceD	69549625	I6H43_RS00025	522		old_locus_tag=I6H43_00025
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	5438	5959	+	WP_041207910.1	WP_041207910.1		23S rRNA accumulation protein YceD	yceD	69549625	I6H43_RS00025	522	173	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	5979	6146	+					rpmF	69549626	I6H43_RS00030	168		old_locus_tag=I6H43_00030
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	5979	6146	+	WP_005300935.1	WP_005300935.1		50S ribosomal protein L32	rpmF	69549626	I6H43_RS00030	168	55	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	6156	7175	+					plsX	69549627	I6H43_RS00035	1020		old_locus_tag=I6H43_00035
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	6156	7175	+	WP_041207723.1	WP_041207723.1		phosphate acyltransferase PlsX	plsX	69549627	I6H43_RS00035	1020	339	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	7183	8142	+						69549628	I6H43_RS00040	960		old_locus_tag=I6H43_00040
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	7183	8142	+	WP_042030948.1	WP_042030948.1		ketoacyl-ACP synthase III		69549628	I6H43_RS00040	960	319	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	8214	9149	+					fabD	69549629	I6H43_RS00045	936		old_locus_tag=I6H43_00045
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	8214	9149	+	WP_033113679.1	WP_033113679.1		ACP S-malonyltransferase	fabD	69549629	I6H43_RS00045	936	311	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	9163	9897	+					fabG	69549630	I6H43_RS00050	735		old_locus_tag=I6H43_00050
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	9163	9897	+	WP_042030949.1	WP_042030949.1		3-oxoacyl-ACP reductase FabG	fabG	69549630	I6H43_RS00050	735	244	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	10055	10291	+					acpP	69549631	I6H43_RS00055	237		old_locus_tag=I6H43_00055
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	10055	10291	+	WP_005300909.1	WP_005300909.1		acyl carrier protein	acpP	69549631	I6H43_RS00055	237	78	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	10374	11615	+					fabF	69549632	I6H43_RS00060	1242		old_locus_tag=I6H43_00060
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	10374	11615	+	WP_042030950.1	WP_042030950.1		beta-ketoacyl-ACP synthase II	fabF	69549632	I6H43_RS00060	1242	413	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	11683	12489	+					pabC	69549633	I6H43_RS00065	807		old_locus_tag=I6H43_00065
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	11683	12489	+	WP_225628392.1	WP_225628392.1		aminodeoxychorismate lyase	pabC	69549633	I6H43_RS00065	807	268	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	12479	13480	+					mltG	69549634	I6H43_RS00070	1002		old_locus_tag=I6H43_00070
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	12479	13480	+	WP_042030953.1	WP_042030953.1		endolytic transglycosylase MltG	mltG	69549634	I6H43_RS00070	1002	333	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	13480	14106	+					tmk	69549635	I6H43_RS00075	627		old_locus_tag=I6H43_00075
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	13480	14106	+	WP_042030954.1	WP_042030954.1		dTMP kinase	tmk	69549635	I6H43_RS00075	627	208	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	14091	15038	+					holB	69549636	I6H43_RS00080	948		old_locus_tag=I6H43_00080
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	14091	15038	+	WP_042030955.1	WP_042030955.1		DNA polymerase III subunit delta'	holB	69549636	I6H43_RS00080	948	315	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	15065	15844	+						69549637	I6H43_RS00085	780		old_locus_tag=I6H43_00085
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	15065	15844	+	WP_042030956.1	WP_042030956.1		YchF/TatD family DNA exonuclease		69549637	I6H43_RS00085	780	259	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	16228	17169	+						69549638	I6H43_RS00090	942		old_locus_tag=I6H43_00090
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	16228	17169	+	WP_225628427.1	WP_225628427.1		site-specific integrase		69549638	I6H43_RS00090	942	313	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	17342	17626	+						69549639	I6H43_RS00095	285		old_locus_tag=I6H43_00095
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	17342	17626	+	WP_042030958.1	WP_042030958.1		hypothetical protein		69549639	I6H43_RS00095	285	94	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	17855	19282	-					rsmF	69549640	I6H43_RS00100	1428		old_locus_tag=I6H43_00100
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	17855	19282	-	WP_042030959.1	WP_042030959.1		16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	rsmF	69549640	I6H43_RS00100	1428	475	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	19415	21967	-						69549641	I6H43_RS00105	2553		old_locus_tag=I6H43_00105
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	19415	21967	-	WP_042030960.1	WP_042030960.1		MlaD family protein		69549641	I6H43_RS00105	2553	850	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	22023	22625	-						69549642	I6H43_RS00110	603		old_locus_tag=I6H43_00110
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	22023	22625	-	WP_033113812.1	WP_033113812.1		paraquat-inducible protein A		69549642	I6H43_RS00110	603	200	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	22609	23235	-						69549643	I6H43_RS00115	627		old_locus_tag=I6H43_00115
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	22609	23235	-	WP_042030961.1	WP_042030961.1		paraquat-inducible protein A		69549643	I6H43_RS00115	627	208	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	23383	24270	+					prpB	69549644	I6H43_RS00120	888		old_locus_tag=I6H43_00120
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	23383	24270	+	WP_042030962.1	WP_042030962.1		methylisocitrate lyase	prpB	69549644	I6H43_RS00120	888	295	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	24281	25408	+					prpC	69549645	I6H43_RS00125	1128		old_locus_tag=I6H43_00125
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	24281	25408	+	WP_042030963.1	WP_042030963.1		2-methylcitrate synthase	prpC	69549645	I6H43_RS00125	1128	375	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	25419	26864	+						69549646	I6H43_RS00130	1446		old_locus_tag=I6H43_00130
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	25419	26864	+	WP_042030964.1	WP_042030964.1		bifunctional 2-methylcitrate dehydratase/aconitate hydratase		69549646	I6H43_RS00130	1446	481	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	27115	27843	-						69549647	I6H43_RS00135	729		old_locus_tag=I6H43_00135
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	27115	27843	-	WP_042030965.1	WP_042030965.1		hypothetical protein		69549647	I6H43_RS00135	729	242	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	28102	28437	+						69549648	I6H43_RS00140	336		old_locus_tag=I6H43_00140
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	28102	28437	+	WP_042030967.1	WP_042030967.1		polyhydroxyalkanoic acid system family protein		69549648	I6H43_RS00140	336	111	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	28699	30129	+						69549649	I6H43_RS00145	1431		old_locus_tag=I6H43_00145
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	28699	30129	+	WP_042030968.1	WP_042030968.1		wax ester/triacylglycerol synthase family O-acyltransferase		69549649	I6H43_RS00145	1431	476	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	30222	31010	-						69549650	I6H43_RS00150	789		old_locus_tag=I6H43_00150
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	30222	31010	-	WP_042030969.1	WP_042030969.1		hypothetical protein		69549650	I6H43_RS00150	789	262	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	31036	31677	-						69549651	I6H43_RS00155	642		old_locus_tag=I6H43_00155
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	31036	31677	-	WP_041207755.1	WP_041207755.1		TetR/AcrR family transcriptional regulator		69549651	I6H43_RS00155	642	213	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	31679	32866	-						69549652	I6H43_RS00160	1188		old_locus_tag=I6H43_00160
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	31679	32866	-	WP_042030970.1	WP_042030970.1		patatin-like phospholipase family protein		69549652	I6H43_RS00160	1188	395	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	32948	33520	-						69549653	I6H43_RS00165	573		old_locus_tag=I6H43_00165
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	32948	33520	-	WP_042030972.1	WP_042030972.1		phasin family protein		69549653	I6H43_RS00165	573	190	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	33769	35742	+						69549654	I6H43_RS00170	1974		old_locus_tag=I6H43_00170
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	33769	35742	+	WP_042030973.1	WP_042030973.1		SDR family oxidoreductase		69549654	I6H43_RS00170	1974	657	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	35828	36703	-						69549655	I6H43_RS00175	876		old_locus_tag=I6H43_00175
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	35828	36703	-	WP_042030975.1	WP_042030975.1		alpha/beta fold hydrolase		69549655	I6H43_RS00175	876	291	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	36872	37174	+						69549656	I6H43_RS00180	303		old_locus_tag=I6H43_00180
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	36872	37174	+	WP_042030978.1	WP_042030978.1		YebG family protein		69549656	I6H43_RS00180	303	100	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	37433	38713	+						69549657	I6H43_RS00185	1281		old_locus_tag=I6H43_00185
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	37433	38713	+	WP_042030979.1	WP_042030979.1		tyrosine-type recombinase/integrase		69549657	I6H43_RS00185	1281	426	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	39286	39666	+						69549658	I6H43_RS00190	381		old_locus_tag=I6H43_00190
